ticker,contrib,times_picked
INTC,0.04943646020671468,37
ANET,0.048978391041946845,36
STX,0.04744151069508024,14
NVDA,0.04731892258231752,26
WDC,0.04654804355603491,46
APA,0.04590215797764944,20
AMD,0.04388465972094078,44
LRCX,0.03711658994836834,40
HPE,0.03430679681044981,30
ALB,0.033183215377163004,36
FCX,0.03191389457504121,19
DELL,0.031777595068402636,8
HUM,0.03163715495036784,12
CNC,0.028047660599236898,19
WBD,0.027952839502169816,42
UAL,0.027039624231347308,32
RTX,0.026871014304443105,59
GLW,0.026618163785377714,11
FANG,0.02555914751485622,12
OXY,0.024685684838372995,15
EXPE,0.0226223253054626,28
AXON,0.02054074850126414,10
DXCM,0.019869847226982203,22
MU,0.01970504696578854,26
DVN,0.0192845381139543,12
BBY,0.019146170461465807,15
SWKS,0.018812655681110416,16
GM,0.01852680681607295,45
BKNG,0.01791952184079191,6
GEV,0.017766194754597814,4
CRWD,0.01766438486652204,8
NRG,0.0174484667195132,8
DVA,0.016929352784908463,8
DLTR,0.01663864369475025,9
AKAM,0.01649538434963092,14
VST,0.016443114914020267,12
AES,0.016257976926047326,5
GOOGL,0.016246781669177316,18
EOG,0.015571551806832782,6
MGM,0.01549320232228508,14
AMZN,0.01494263030272374,15
AVGO,0.014389900155602466,23
GOOG,0.014260004491611761,6
VLO,0.014106533592439243,3
MRNA,0.014041649484027039,18
SWK,0.01394224353012448,14
FDX,0.013719844165641305,9
META,0.013564389921020817,7
TER,0.013502038138707016,30
MPWR,0.013463830148841912,30
CEG,0.012685406178012077,14
MPC,0.011877372794473784,3
TRMB,0.0118438647249945,8
MCHP,0.011741369588179477,16
WYNN,0.011645523930870833,23
DAL,0.0115405662279422,10
HOOD,0.01105155759459137,4
FTNT,0.010970025180881054,19
FOX,0.010690016171826668,5
CVS,0.010625135782874391,11
ON,0.010592506690983727,32
NXPI,0.010491986974532633,13
ADBE,0.010386848845945821,10
CHRW,0.010349828203138617,11
VTRS,0.010306183934161516,56
AMAT,0.009966221271572373,15
TSCO,0.009962875150853789,14
NFLX,0.009711956101765253,26
AOS,0.009434807629666336,4
ZBRA,0.00927481195360843,17
AAPL,0.008770620289696458,2
LEN,0.00856801814662754,7
PSX,0.008554899862530281,3
GEN,0.008502670510426108,4
BLDR,0.008489973576808162,16
FOXA,0.00843740952366362,3
JBL,0.008403563334922549,8
SLB,0.007882643084667209,5
TPR,0.007727504621450782,11
CCL,0.007646831345637869,23
KIM,0.007608628243493676,2
TTWO,0.007598941306580027,14
EBAY,0.007443813133446417,13
AMCR,0.007195046046301876,32
REG,0.007174626063875278,2
ADI,0.007053478347485587,6
RL,0.007020735680359828,8
GWW,0.0070043428937561,2
SNPS,0.006938068282162312,8
HAS,0.006846476319945386,11
LYV,0.00681146515108099,4
FRT,0.0067912297493472,2
FIX,0.0064137340578927955,1
HII,0.006331277526330003,10
ADP,0.006024679718830694,2
DPZ,0.006000539640835251,5
HAL,0.005953665116616781,9
UNH,0.00585031912107073,4
MMM,0.005833840623004161,12
NEM,0.0057804275499056534,1
MTB,0.005734938229691089,2
RCL,0.005720959899267387,6
CI,0.00562870087497871,5
WST,0.0055232340555450765,9
TDG,0.005490489544612948,2
IDXX,0.005265058361581987,9
COIN,0.005116094110508433,9
NTAP,0.004924181147029217,1
VRTX,0.00492379649063856,5
AZO,0.00479751760503579,2
NUE,0.004656879297159799,5
