feature,importance
dist_52w_high,0.108796574
dist_sma200,0.08171969
days_to_earnings,0.037107952
dist_52w_high_rank,0.036813725
spy_rsi_14,0.036739483
days_since_earnings,0.036398407
spy_ret_21d,0.035497237
debt_to_equity_rank,0.034872863
dist_sma200_rank,0.034648485
macd_hist,0.032489873
roa,0.030278549
book_to_market_rank,0.030097753
debt_to_equity,0.027659966
macd_hist_rank,0.026170598
earnings_yield_rank,0.024964683
beta_60d,0.024575615
vix_level,0.02236473
excess_ret_21d_vs_sector,0.022282777
vol_60d_rank,0.02200497
ret_63d,0.021442417
gics_sector,0.020705856
sales_growth_yoy,0.020557508
vol_60d,0.020256266
vol_20d_rank,0.019503104
insider_buy_count_60d,0.019213459
current_ratio_rank,0.017251415
excess_ret_21d,0.016490284
zscore_60d_rank,0.015886636
vol_20d,0.015789852
book_to_market,0.015706869
ret_63d_rank,0.013864215
ret_21d,0.011782333
current_ratio,0.010958727
atr_pct_rank,0.01092315
days_since_last_insider_buy,0.010447133
zscore_20d,0.008697566
insider_net_dollar_60d,0.008166349
zscore_60d,0.0075811394
zscore_20d_rank,0.004894556
insider_sell_count_60d,0.0043973476
excess_ret_5d,0.0
atr_pct,0.0
earnings_yield,0.0
roa_rank,0.0
