feature,importance
dist_52w_high,0.16148227
macd_hist,0.08193137
dist_sma200_rank,0.08015488
earnings_yield,0.07306549
debt_to_equity,0.06338795
macd_hist_rank,0.05894357
zscore_60d_rank,0.057041742
ret_63d_rank,0.055969883
spy_ret_21d,0.05590095
vol_60d,0.04234249
beta_60d,0.041436248
gics_sector,0.04108818
vix_level,0.03944042
earnings_yield_rank,0.0370196
vol_60d_rank,0.034567036
vol_20d,0.0338887
rsi_14_rank,0.02824212
ret_63d,0.014097014
zscore_20d,0.0
zscore_60d,0.0
atr_pct,0.0
dist_sma200,0.0
dist_sma50,0.0
vol_ratio,0.0
mfi_14,0.0
rsi_14,0.0
ret_21d,0.0
ret_5d,0.0
ret_1d,0.0
days_since_earnings,0.0
days_to_earnings,0.0
excess_ret_21d_vs_sector,0.0
excess_ret_5d_vs_sector,0.0
vix_zscore_20d,0.0
spy_rsi_14,0.0
spy_trend_regime,0.0
excess_ret_21d,0.0
trend_regime,0.0
excess_ret_5d,0.0
current_ratio,0.0
sales_growth_yoy,0.0
op_income_growth_yoy,0.0
roa,0.0
book_to_market,0.0
post_earnings_drift_window,0.0
atr_pct_rank,0.0
mfi_14_rank,0.0
ret_5d_rank,0.0
ret_21d_rank,0.0
ret_1d_rank,0.0
vol_ratio_rank,0.0
dist_sma50_rank,0.0
vol_20d_rank,0.0
zscore_20d_rank,0.0
dist_52w_high_rank,0.0
roa_rank,0.0
book_to_market_rank,0.0
debt_to_equity_rank,0.0
current_ratio_rank,0.0
sales_growth_yoy_rank,0.0
op_income_growth_yoy_rank,0.0
