feature,s1,s2,s3,s4,s5,mean,std,zero_count
dist_52w_high,0.04468111,0.16148227,0.06115818,0.08643848,0.18728821,0.10820965,0.06287903219714701,0
dist_sma200,0.06624622,0.0,0.07039192,0.097011864,0.17105538,0.0809410768,0.061760706119579394,1
dist_sma200_rank,0.040826388,0.08015488,0.040302992,0.059223827,0.071654335,0.058432484400000005,0.01793013630825171,0
spy_ret_21d,0.027327439,0.05590095,0.03833721,0.0422633,0.073993206,0.047564421,0.017963554349762968,0
macd_hist_rank,0.026049051,0.05894357,0.034594607,0.0330001,0.07795274,0.0461080136,0.02171160990494847,0
debt_to_equity,0.030131139,0.06338795,0.03323148,0.036952164,0.05956433,0.044653412600000005,0.01560436280445971,0
macd_hist,0.028304316,0.08193137,0.028751375,0.05909948,0.0,0.0396173082,0.03156587655165323,1
days_since_earnings,0.032094818,0.0,0.033123344,0.04057381,0.07783464,0.036725322399999996,0.027784671921409522,1
vol_60d_rank,0.024183223,0.034567036,0.026582886,0.03046544,0.050005283,0.0331607736,0.010208390104877276,0
zscore_60d_rank,0.03033515,0.057041742,0.03270863,0.027778687,0.016755383,0.032923918399999995,0.01480128735334641,0
ret_63d,0.047666803,0.014097014,0.027700763,0.07130009,0.0,0.032152934,0.02807502979831675,1
vix_level,0.023113083,0.03944042,0.026038798,0.029931381,0.037418302,0.031188396799999997,0.0070748985007773576,0
gics_sector,0.02496673,0.04108818,0.03083029,0.030858694,0.026370814,0.030822941599999997,0.006314529002874625,0
roa_rank,0.030215733,0.0,0.01789614,0.04211568,0.062087175,0.030462945600000003,0.023568277810582156,1
beta_60d,0.0292056,0.041436248,0.032533035,0.048803654,0.0,0.030395707400000006,0.018645573120773005,1
vol_60d,0.025458507,0.04234249,0.031010743,0.02720475,0.0,0.025203298000000002,0.015546345966654657,1
debt_to_equity_rank,0.033123836,0.0,0.04004493,0.051974367,0.0,0.0250286266,0.023822043403638502,2
earnings_yield_rank,0.026297815,0.0370196,0.03000748,0.027432486,0.0,0.0241514762,0.014129286861241342,1
roa,0.039126188,0.0,0.037482653,0.03587248,0.0,0.022496264199999998,0.02056838089094001,2
spy_rsi_14,0.022391146,0.0,0.036629215,0.046451025,0.0,0.0210942772,0.021070820352492012,2
vol_20d,0.023058735,0.0338887,0.020637304,0.020951275,0.0,0.0197072028,0.012279396127279903,1
dist_52w_high_rank,0.015944172,0.0,0.06727537,0.0140419435,0.0,0.0194522971,0.027773228540837372,2
ret_63d_rank,0.016272059,0.055969883,0.02102183,0.0,0.0,0.0186527544,0.022911235290510163,2
earnings_yield,0.019714778,0.07306549,0.0,0.0,0.0,0.0185560536,0.03164491536763458,3
current_ratio,0.0,0.0,0.0,0.0,0.07257019,0.014514038000000002,0.0324543755960151,4
days_to_earnings,0.028890891,0.0,0.0,0.030685151,0.0,0.011915208399999998,0.01632789881299435,3
sales_growth_yoy,0.025402814,0.0,0.02656994,0.0,0.0,0.0103945508,0.014239305101139002,3
atr_pct,0.015298115,0.0,0.029876737,0.0,0.0,0.0090349704,0.01340240916473614,3
zscore_20d,0.009467208,0.0,0.030081354,0.0,0.0,0.007909712400000001,0.013054674780849687,3
excess_ret_21d_vs_sector,0.015986608,0.0,0.022500848,0.0,0.0,0.007697491200000001,0.010788917255619083,3
book_to_market_rank,0.012960182,0.0,0.023253787,0.0,0.0,0.007242793799999999,0.01056426307377733,3
